Cnt	emplID	CUM_GPA
1	207894	3.71
1	207651	3.72
2	231659	3.72
1	147815	3.74
1	185829	3.74
1	150878	3.76
2	205715	3.77
1	214284	3.77
2	191368	3.78
1	227210	3.78
1	174798	3.81
3	181734	3.82
2	194663	3.82
2	188161	3.83
1	216047	3.83
1	206421	3.85
1	181483	3.89
1	105980	3.91
1	187950	3.91
1	214414	3.92
1	215439	3.92
1	182069	3.95
1	185182	3.96
1	224926	3.97
3	208804	4
1	210732	4
1	181424	1.99
1	182269	2.04
2	215495	2.1
1	182228	2.18
2	211528	2.46
2	158684	2.6
1	221330	2.75
1	211629	2.77
1	197836	2.78
1	217106	2.83
2	211620	2.85
1	211373	2.86
1	149902	2.87
1	138712	2.88
2	213565	3.01
1	183021	3.04
1	145172	3.08
1	151175	3.09
1	216050	3.1
1	180720	3.11
1	208432	3.12
1	198129	3.13
1	200902	3.13
2	134135	3.18
1	181526	3.19
1	213308	3.22
1	216905	3.29
2	159162	3.3
1	217084	3.3
1	212031	3.32
1	212098	3.32
2	105499	3.33
2	211798	3.33
1	211804	3.33
1	216502	3.33
1	182170	3.34
1	203761	3.36
3	203072	3.37
1	209283	3.37
1	186002	3.38
2	196962	3.38
1	213678	3.4
1	216823	3.4
2	210405	3.42
1	214463	3.42
2	216635	3.42
3	172683	3.44
1	197164	3.44
1	188109	3.45
2	206257	3.45
1	148549	3.46
1	198370	3.48
2	212595	3.48
1	216455	3.5
1	231595	3.5
1	209795	3.51
1	209661	3.52
1	180678	3.55
1	197774	3.55
2	152461	3.56
1	213067	3.56
2	217613	3.56
1	215689	3.57
1	217739	3.57
1	216818	3.58
2	211379	3.6
1	158624	3.61
1	183490	3.61
1	214554	3.61
1	196242	3.63
2	210351	3.63
1	135719	3.64
2	151274	3.64
1	186009	3.65
1	153654	3.66
1	186396	3.66
1	215487	3.66
2	227241	3.66
2	186311	3.67
1	146774	3.68
1	151481	3.68
1	214760	3.68
1	187372	3.69
1	187674	3.69
1	196283	3.7
1	155440	3.71
1	187533	3.71
1	175645	3.72
3	217229	3.72
1	151764	3.74
1	187481	3.74
1	212941	3.74
1	208408	3.76
1	142886	3.77
1	155754	3.78
1	221934	3.78
1	189096	3.8
1	214447	3.8
2	208431	3.82
2	212406	3.82
1	203385	3.83
1	156086	3.84
3	184149	3.84
1	197666	3.84
1	215637	3.84
1	196621	3.85
1	210315	3.85
2	213869	3.85
1	204274	3.87
2	208989	3.88
1	217540	3.88
1	146060	3.89
1	221920	3.89
1	186640	3.9
1	231545	3.9
1	213634	3.93
2	213461	3.95
1	205226	3.96
7	210074	3.98
2	225141	3.98
2	208104	4
1	225415	1.92
1	181703	2.29
1	207482	2.52
3	216945	2.52
1	164196	2.55
1	185122	2.63
1	217475	2.69
1	216420	2.72
1	217717	2.77
1	212718	2.8
1	206313	2.91
1	215570	2.92
1	191618	2.93
1	188543	2.98
1	216030	3.04
2	187496	3.07
3	216130	3.09
1	208195	3.12
1	215907	3.12
1	216104	3.13
1	155804	3.14
1	197077	3.17
2	214594	3.18
1	172922	3.2
2	197022	3.2
1	151879	3.22
1	182175	3.27
2	178789	3.29
1	183770	3.31
1	169759	3.32
1	197136	3.32
4	186296	3.33
3	163410	3.36
1	216538	3.41
1	203997	3.42
2	134451	3.43
1	182852	3.43
1	172993	3.44
1	197274	3.45
2	217699	3.46
1	186215	3.47
2	209180	3.47
1	158964	3.49
2	202622	3.51
1	183833	3.52
1	215484	3.52
4	147237	3.53
1	158149	3.53
2	216615	3.53
2	227289	3.53
1	217555	3.54
1	146342	3.56
1	182341	3.57
1	176484	3.58
1	216868	3.58
1	136936	3.59
1	182342	3.59
2	231563	3.59
2	197128	3.6
1	231625	3.6
1	213570	3.61
2	184046	3.62
2	183004	3.63
1	213729	3.63
1	152017	3.64
1	150846	3.65
1	178820	3.65
1	184659	3.65
3	216383	3.65
1	218970	3.65
1	231621	3.65
1	197141	3.66
1	227190	3.66
2	187216	3.67
3	197011	3.67
1	211489	3.67
1	213109	3.67
3	217578	3.67
1	219752	3.68
2	150413	3.7
1	152756	3.7
1	152936	3.7
1	197129	3.7
1	207851	3.71
2	208577	3.71
1	213632	3.71
3	217259	3.71
2	215684	3.72
1	217496	3.72
1	139927	3.73
1	196837	3.73
2	225132	3.73
1	154935	3.74
1	213294	3.74
1	214142	3.74
2	159801	3.75
1	181170	3.76
2	156527	3.77
1	185102	3.77
7	215278	3.77
2	141514	3.79
2	186608	3.8
3	227243	3.8
2	173264	3.83
1	225742	3.83
1	201412	3.85
1	156385	3.86
1	192677	3.88
2	211337	3.88
2	217603	3.88
1	134381	3.91
1	185250	3.91
1	149259	3.92
1	188127	3.92
1	197241	3.92
1	197102	3.94
1	197100	3.96
1	201676	3.96
2	214489	3.96
1	186830	3.97
1	197387	3.97
1	206878	3.97
1	194048	3.98
1	176684	4
4	215924	4
1	217334	2.05
1	153091	2.41
1	216246	2.44
1	212921	2.53
2	185011	2.6
3	208192	2.6
2	208159	2.66
1	197377	2.67
1	184579	2.68
2	187416	2.71
3	160649	2.73
1	139567	2.75
1	208162	2.78
2	123743	2.8
1	142785	2.8
1	202358	2.84
1	217364	2.84
1	181848	2.87
3	231522	2.87
1	158916	2.93
1	182364	2.98
1	135099	2.99
1	211609	3.03
1	214359	3.05
1	210416	3.06
1	186092	3.09
2	183596	3.13
1	181827	3.15
1	213569	3.16
1	156676	3.17
1	170157	3.22
1	191513	3.24
1	146225	3.27
4	167167	3.28
1	209980	3.28
1	217482	3.28
1	160396	3.31
1	216061	3.35
1	178887	3.37
1	181120	3.37
1	205210	3.37
1	191041	3.38
1	152087	3.41
1	190610	3.41
3	216631	3.41
1	135086	3.42
1	135407	3.44
5	180716	3.44
1	222903	3.44
2	231598	3.45
1	184509	3.46
1	208541	3.47
1	217040	3.47
1	185399	3.48
1	173725	3.5
1	187075	3.5
1	141522	3.51
1	231619	3.51
1	214494	3.52
1	197031	3.53
1	231611	3.55
1	197314	3.56
3	231554	3.56
1	183636	3.57
1	207666	3.58
1	133765	3.59
1	212114	3.6
1	137527	3.63
1	184726	3.63
2	216290	3.63
4	196874	3.64
